custrefno,txnid,currstatuscode,txnamount,trndate,storeid,grefid,trnrefno,txncurrstatuscode,respCode,meraccno,mcc,txntype,payervpa,payeraccno,payerifsc,payeevpa,payeeifsc,pgmerchantId,orderNo,paytype,pyfname,drcrflag,acctype,purpose,umn,mndpattern
4279316215337,TXN1f77854d23d746819a34bdd7f39b2f7e,6010,10774.77,2025-06-15 14:01:00,7800,GREF123456,323691,2220,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,5072,PAY,samayraina@ibl,87654321,AIRP0001,techwisecollege@ypbiz,YESB0MGSUPI,YBL00003,AIRPAY1111,P2M,Samay Raina,C,CREDIT,0,,
4279326215337,TXN2f77854d23d746819a34bdd7f39b2f7e,6010,11623.7,2025-06-15 14:02:00,1234,GREF123456,323692,2220,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,7538,PAY,99999852@ybl,12345678,YESB00001,teastall@axl,YESB0MGSUPI,YBL00003,AIRPAY1111,P2M,Vinkaj,C,SAVINGS,0,,
4279336215337,TXN3f77854d23d746819a34bdd7f39b2f7e,6010,13156.03,2025-06-15 14:03:00,7414,GREF123456,323693,2220,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,5251,PAY,abc_person@axl,100000021,SBIN000116,techwisecollege@ypbiz,YESB0MGSUPI,YBL00002,AIRPAY1111,P2M,Saurav G.,D,SAVINGS,0,,
4279346215337,TXN4f77854d23d746819a34bdd7f39b2f7e,6010,13815.74,2025-06-15 14:04:00,1415,GREF123456,323694,2230,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,7407,PAY,samayraina@ibl,100000021,SBIN000116,teastall@axl,YESB0MGSUPI,YBL00001,AIRPAY1032,P2M,Vinkaj,D,SAVINGS,0,,
4279356215337,TXN5f77854d23d746819a34bdd7f39b2f7e,6010,14838.97,2025-06-15 14:05:00,6789,GREF123456,323695,2230,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,5169,PAY,99999852@ybl,12345678,AIRP0001,teastall@axl,YESB0MGSUPI,YBL00001,AIRP2222,P2M,Saurav G.,C,CREDIT,0,,
4279366215337,TXN6f77854d23d746819a34bdd7f39b2f7e,6010,15510.86,2025-06-15 14:06:00,7800,GREF123456,323696,2220,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,7379,PAY,abc_person@axl,87654321,AIRP0001,vinayak@ybiz,YESB0MGSUPI,YBL00003,AIRPAY1032,P2M,Vinkaj,D,CREDIT,0,,
4279376215337,TXN7f77854d23d746819a34bdd7f39b2f7e,6010,17355.11,2025-06-15 14:07:00,1234,GREF123456,323697,2220,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,5065,PAY,99999852@ybl,100000021,AIRP0001,techwisecollege@ypbiz,YESB0MGSUPI,YBL00002,AIRP2222,P2M,Samay Raina,C,CREDIT,0,,
4279386215337,TXN8f77854d23d746819a34bdd7f39b2f7e,6010,17735.91,2025-06-15 14:08:00,6789,GREF123456,323698,2220,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,7933,PAY,99999852@ybl,87654321,YESB00001,teastall@axl,YESB0MGSUPI,YBL00003,AIRP2222,P2M,Samay Raina,D,CREDIT,0,,
4279396215337,TXN9f77854d23d746819a34bdd7f39b2f7e,6010,19418.88,2025-06-15 14:09:00,1234,GREF123456,323699,2230,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,5039,PAY,samayraina@ibl,12345678,SBIN000116,vinayak@ybiz,YESB0MGSUPI,YBL00001,AIRP2222,P2M,Saurav G.,C,SAVINGS,0,,
42793106215337,TXN10f77854d23d746819a34bdd7f39b2f7e,6010,19803.49,2025-06-15 14:10:00,7800,GREF123456,323700,2230,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,5046,PAY,samayraina@ibl,12345678,SBIN000116,vinayak@ybiz,YESB0MGSUPI,YBL00001,AIRPAY1032,P2M,Vinkaj,D,CREDIT,0,,
